Total Hotspots: 207

| No | Latitude | Longitude | Confidence | Brightness |
| 105 | 1.09718 | 104.27594 | n | 343.1 K |
| 106 | 1.58021 | 103.80209 | n | 342.89 K |
| 107 | -0.2525 | 104.54689 | n | 302.62 K |
| 108 | 0.10012 | 103.3675 | n | 309.18 K |
| 109 | 0.10099 | 103.36658 | n | 303.29 K |
| 110 | 0.31288 | 103.00401 | n | 307.62 K |
| 111 | 0.60745 | 103.18533 | n | 307.81 K |
| 112 | 0.62401 | 103.20153 | n | 305.26 K |
| 113 | 0.77585 | 101.42798 | n | 303.85 K |
| 114 | 1.0149 | 103.96407 | n | 309.16 K |
| 115 | 1.08234 | 100.81559 | n | 304.19 K |
| 116 | 1.13286 | 102.85586 | n | 355.13 K |
| 117 | 1.1365 | 102.85644 | n | 344.6 K |
| 118 | 1.2613 | 101.13417 | n | 305.46 K |
| 119 | 1.27759 | 103.70353 | n | 306.38 K |
| 120 | 1.37482 | 100.52696 | n | 310.04 K |
| 121 | 1.37613 | 104.16119 | n | 328.47 K |
| 122 | 1.3766 | 104.1581 | n | 331.07 K |
| 123 | 1.3769 | 104.15628 | n | 310.12 K |
| 124 | 1.3774 | 104.15321 | n | 309.99 K |
| 125 | 1.3821 | 101.23025 | n | 299.21 K |
| 126 | 1.58205 | 101.71164 | n | 317.6 K |
| 127 | 1.58549 | 101.71219 | n | 342.68 K |
| 128 | 1.58609 | 101.70846 | n | 317.03 K |
| 129 | 1.67227 | 101.47597 | n | 308.88 K |
| 130 | 1.67307 | 101.38257 | n | 318.74 K |
| 131 | 1.68836 | 104.16111 | n | 308.51 K |
| 132 | 1.69149 | 104.16661 | n | 341.32 K |
| 133 | 1.69184 | 104.16427 | n | 345.48 K |
| 134 | 1.69226 | 104.16173 | n | 316.37 K |
| 135 | 1.78754 | 103.22124 | n | 305.14 K |
| 136 | 1.80151 | 102.90285 | n | 325.64 K |
| 137 | 1.8189 | 103.2616 | n | 299.62 K |
| 138 | 1.82737 | 103.23199 | n | 297.91 K |
| 139 | 1.83037 | 103.23689 | n | 325.87 K |
| 140 | 1.83105 | 103.23257 | n | 339.88 K |
| 141 | 1.83405 | 103.23746 | n | 301.14 K |
| 142 | 1.83473 | 103.23315 | n | 315.99 K |
| 143 | -1.57391 | 103.68417 | n | 301.45 K |
| 144 | -1.57164 | 103.68688 | n | 308.44 K |
| 145 | -1.57071 | 103.68983 | n | 303.18 K |
| 146 | 0.10814 | 103.76427 | n | 336.04 K |
| 147 | 1.37873 | 104.15787 | n | 337.05 K |
| 148 | 1.68402 | 104.16969 | n | 336.78 K |
| 149 | 1.68965 | 104.16879 | n | 331.78 K |
| 150 | 1.69528 | 104.16793 | n | 339.26 K |
| 151 | -0.61188 | 101.53296 | n | 335.45 K |
| 152 | -0.60933 | 101.53362 | n | 338.19 K |
| 153 | -2.64721 | 104.75477 | n | 306.85 K |
| 154 | -1.17559 | 103.35713 | n | 314.63 K |
| 155 | -1.02349 | 103.3594 | n | 303.66 K |
| 156 | -1.00909 | 103.33321 | n | 334.09 K |
| 157 | -0.98854 | 103.33286 | n | 310.73 K |
| 158 | -0.45791 | 102.17099 | n | 306 K |
| 159 | -0.21564 | 103.15391 | n | 321.77 K |
| 160 | -0.21508 | 103.1504 | n | 311.42 K |
| 161 | -0.08278 | 103.29269 | n | 304.87 K |
| 162 | -0.03495 | 103.18536 | n | 314.03 K |
| 163 | 0.06887 | 103.36337 | n | 304.1 K |
| 164 | 0.09783 | 103.36782 | n | 314.73 K |
| 165 | 0.61795 | 103.20816 | n | 306.5 K |
| 166 | 0.62187 | 103.20516 | n | 312.16 K |
| 167 | 0.71556 | 101.45397 | n | 303.94 K |
| 168 | 0.91364 | 104.60824 | n | 313.22 K |
| 169 | 1.00765 | 104.82838 | n | 331.91 K |
| 170 | 1.0077 | 103.41685 | n | 305.02 K |
| 171 | 1.0082 | 104.82491 | n | 323.62 K |
| 172 | 1.1315 | 102.85294 | n | 313.11 K |
| 173 | 1.13433 | 102.85709 | n | 342.45 K |
| 174 | 1.1349 | 102.85348 | n | 331.73 K |
| 175 | 1.23584 | 103.76669 | n | 307.02 K |
| 176 | 1.37016 | 104.16425 | n | 307.63 K |
| 177 | 1.3718 | 104.15389 | n | 306.65 K |
| 178 | 1.37512 | 104.15442 | n | 318.94 K |
| 179 | 1.37646 | 104.16156 | n | 312.02 K |
| 180 | 1.37701 | 104.1581 | n | 330.4 K |
| 181 | 1.37755 | 104.15465 | n | 311.46 K |
| 182 | 1.58226 | 101.71085 | n | 309.81 K |
| 183 | 1.58582 | 101.7114 | n | 309.08 K |
| 184 | 1.67136 | 104.16148 | n | 310.2 K |
| 185 | 1.67414 | 101.38285 | n | 311.21 K |
| 186 | 1.67692 | 104.16943 | n | 306.63 K |
| 187 | 1.67746 | 104.16598 | n | 309.3 K |
| 188 | 1.67776 | 101.38341 | n | 306.88 K |
| 189 | 1.68024 | 104.16995 | n | 337.75 K |
| 190 | 1.68079 | 104.1665 | n | 317.28 K |
| 191 | 1.68356 | 104.17047 | n | 333.15 K |
| 192 | 1.68411 | 104.16702 | n | 321.26 K |
| 193 | 1.68689 | 104.17099 | n | 328.38 K |
| 194 | 1.68744 | 104.16753 | n | 340.23 K |
| 195 | 1.69021 | 104.17151 | n | 323.69 K |
| 196 | 1.69076 | 104.16805 | n | 352.39 K |
| 197 | 1.69131 | 104.1646 | n | 310.24 K |
| 198 | 1.69409 | 104.16857 | n | 343.8 K |
| 199 | 1.69463 | 104.16512 | n | 333.36 K |
| 200 | 1.78547 | 103.22155 | n | 307.78 K |
| 201 | 1.78604 | 103.21798 | n | 327.16 K |
| 202 | 1.81194 | 103.16339 | n | 307.85 K |
| 203 | 1.82752 | 104.09073 | n | 309.34 K |
| 204 | 1.82823 | 103.23552 | n | 316.87 K |
| 205 | 1.8288 | 103.23195 | n | 318.52 K |
| 206 | 1.83161 | 103.23604 | n | 321.54 K |
| 207 | 1.83217 | 103.23248 | n | 312.05 K |
